"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"edyr25","numeric",217,0,199,8.12102401455271e-18,-0.119624315526958,-0.119624315526958,NA,1,NA,-1.50613947991369,2.41372396075952,3.91986344067322,0.336469129589336,1.01868914522245,-0.837105564582253,-1.27284329320985,NA,NA
"womedyr25","numeric",217,0,194,-6.87494096470071e-18,-0.138486343521957,-0.138486343521957,NA,1,NA,-1.34113019941162,2.47063930993358,3.81176950934521,0.430251156470364,1.30262227429514,-0.807882469044926,-1.2284087287591,NA,NA
"menedyr25","numeric",217,0,193,-1.36147813453277e-16,-0.112017905119711,-0.112017905119711,NA,1,NA,-1.7051677682042,2.29623188791499,4.00139965611919,0.20097370403041,0.608465124336379,-0.919503711662768,-1.39813206600244,NA,NA
"edyr2039","numeric",217,0,205,1.20652216136472e-16,0.0815218418696427,0.0815218418696427,NA,1,NA,-1.84281512578886,2.28203680025691,4.12485192604577,-0.0596320043449049,-0.180541007159124,-0.990044929062932,-1.50539203327725,NA,NA
"womedyr2039","numeric",217,0,198,6.35832112767306e-17,0.0752233632255875,0.0752233632255875,NA,1,NA,-1.67034218944604,2.23151022240819,3.90185241185423,0.00039983869669847,0.00121054594418142,-1.14840942385609,-1.74618984135374,NA,NA
"menedyr2039","numeric",217,0,187,3.11061100712454e-17,0.0507970436159266,0.0507970436159266,NA,1,NA,-2.13405203713979,2.30803570234848,4.44208773948827,-0.158718706228666,-0.480534494728331,-0.795691511717669,-1.20987202451493,NA,NA
"edyr4059","numeric",217,0,193,6.32134833469429e-18,-0.0518843579217655,-0.0518843579217655,NA,1,NA,-1.35418835123042,2.50682745271992,3.86101580395034,0.415163216210145,1.25694224122462,-0.79266568343836,-1.20527116484481,NA,NA
"womedyr4059","numeric",217,0,184,8.67841385032452e-17,-0.149728389761814,-0.149728389761814,NA,1,NA,-1.16215093784136,2.64543821037085,3.80758914821221,0.595942739021042,1.80426775007805,-0.649920268945652,-0.988222621434186,NA,NA
"menedyr4059","numeric",217,0,195,5.43839806777429e-17,-0.0375171215880694,-0.0375171215880694,NA,1,NA,-1.55115226063947,2.24595921629253,3.797111476932,0.199203271849072,0.603104989076175,-0.983135863811275,-1.49488659914803,NA,NA
"edyr60","numeric",217,0,178,3.23861681200509e-17,-0.203850341148201,-0.203850341148201,NA,1,NA,-1.0351127122506,3.20707335515212,4.24218606740271,1.13106254814932,3.42438886376779,0.846350648445295,1.28690071139953,NA,NA
"womedyr60","numeric",217,0,152,3.86895296905933e-17,-0.411690428258183,-0.411690428258183,NA,1,NA,-0.832378196230775,3.56866306871326,4.40104126494404,1.47770421486772,4.47387623753914,1.86931222705637,2.8423434651414,NA,NA
"menedyr60","numeric",217,0,191,-2.5901939643315e-17,-0.159191745434127,-0.159191745434127,NA,1,NA,-1.14390175446574,2.83788513563716,3.98178689010289,0.803297423998188,2.43205184145977,-0.123692431565499,-0.188077930192153,NA,NA
"eye","numeric",217,0,217,-1.55595502560109e-16,0.208973673687367,0.208973673687367,NA,1,NA,-3.04646880690744,1.75129831555782,4.79776712246526,-1.10090696178403,-3.33309023992188,0.721453685331281,1.09699125604752,NA,NA
"eyef","numeric",217,0,217,-1.78476165458253e-17,0.225781772456604,0.225781772456604,NA,1,NA,-2.97608923045432,1.73084794026501,4.70693717071933,-1.01492546302766,-3.07277387871518,0.434344649741972,0.660433639145078,NA,NA
"eyem","numeric",217,0,217,-1.74539062638352e-16,0.262317632819164,0.262317632819164,NA,1,NA,-3.17201183971121,1.66435443285136,4.83636627256257,-1.11853927357439,-3.38647357600365,0.768462390301099,1.16846935555481,NA,NA
"lprimary","numeric",217,0,213,-2.77808070486752e-16,0.330155641057275,0.330155641057275,NA,1,NA,-2.92608072278214,1.03522839819903,3.96130912098117,-1.01059036759354,-3.05964900551321,0.000352369250118834,0.000535787666124244,NA,NA
"uprimary","numeric",217,0,199,-2.71709058542268e-16,0.469377854844696,0.469377854844696,NA,1,NA,-4.17992195336617,0.728739621005219,4.90866157437139,-1.97259979490978,-5.97221504806459,3.58718638578095,5.45442095455852,NA,NA
"lsecondary","numeric",217,0,208,2.85487919147248e-16,0.39363506410398,0.39363506410398,NA,1,NA,-3.65140701627082,0.916396534193485,4.56780355046431,-1.61556540856629,-4.89126282435485,1.89202785183939,2.87688323154538,NA,NA
"usecondary","numeric",217,0,216,2.56234445783641e-16,0.257708070047861,0.257708070047861,NA,1,NA,-2.71409337359095,1.46938677024394,4.18348014383489,-0.836307199299466,-2.53199176708292,-0.146559292063978,-0.22284765488844,NA,NA
"ltertiary","numeric",217,0,211,1.37193419027686e-16,0.0405801513929616,0.0405801513929616,NA,1,NA,-1.95842727229503,2.63387150063525,4.59229877293028,0.162710400271869,0.492619690769415,-0.411290895800044,-0.625379737546733,NA,NA
"utertiary","numeric",217,0,201,-8.10142593611228e-17,-0.110751689949245,-0.110751689949245,NA,1,NA,-1.52484339878652,4.05663133580982,5.58147473459635,1.02867471936113,3.11440093139275,1.5279132391663,2.32323640095487,NA,NA
"lprimaryg","numeric",217,0,210,-2.37150988650884e-16,0.340690078370699,0.340690078370699,NA,1,NA,-2.85521446731675,1.02481526287953,3.88002973019628,-1.0250058089788,-3.10329299056668,0.0144048878478409,0.0219030498210991,NA,NA
"uprimaryg","numeric",217,0,182,-2.98818609545444e-16,0.493693977308542,0.493693977308542,NA,1,NA,-3.90374839214149,0.70070202429005,4.60445041643154,-1.90207966212892,-5.75870929830623,3.15345093388294,4.79491361840644,NA,NA
"lsecondaryg","numeric",217,0,202,2.80141353503115e-16,0.410197352285991,0.410197352285991,NA,1,NA,-3.45749018162735,0.872535061911862,4.33002524353921,-1.50837043428875,-4.5667208467529,1.30698472395443,1.98730818501167,NA,NA
"usecondaryg","numeric",217,0,213,2.105439428712e-16,0.241188897642674,0.241188897642674,NA,1,NA,-2.60145238708028,1.46655621496761,4.06800860204789,-0.765268250377114,-2.31691525696285,-0.430174429157586,-0.654092697779231,NA,NA
"ltertiaryg","numeric",217,0,215,-1.37459285885305e-16,-0.0575798849952123,-0.0575798849952123,NA,1,NA,-1.83478893092381,2.60663451559,4.44142344651381,0.318807097291823,0.965215827756435,-0.472516003495529,-0.718474289779389,NA,NA
"utertiaryg","numeric",217,0,203,-8.84867879251779e-17,-0.233531451253631,-0.233531451253631,NA,1,NA,-1.24389494232619,4.76656858505576,6.01046352738195,1.39340767684503,4.21866123945492,2.61563007529276,3.97714140213107,NA,NA
"lprimaryb","numeric",217,0,210,7.74864803337601e-17,0.399789705646195,0.399789705646195,NA,1,NA,-2.96323109775841,1.06426090651833,4.02749200427674,-0.993286170677981,-3.0072590653538,-0.0302405554701788,-0.0459816417925335,NA,NA
"uprimaryb","numeric",217,0,186,-4.19321435612988e-17,0.419931131799399,0.419931131799399,NA,1,NA,-4.3490096506528,0.741426431301194,5.090436081954,-2.00920576019403,-6.08304274726827,3.78662542450087,5.75767379814171,NA,NA
"lsecondaryb","numeric",217,0,204,-3.82224733814507e-16,0.336420756963551,0.336420756963551,NA,1,NA,-3.68538519230273,0.920590652310295,4.60597584461303,-1.67115883186435,-5.05957668104836,2.23202127382921,3.39385309200878,NA,NA
"usecondaryb","numeric",217,0,216,-8.8675746533213e-17,0.316109283678728,0.316109283678728,NA,1,NA,-2.77906878255782,1.5378098246062,4.31687860716402,-0.866705083472255,-2.62402396832035,-0.123598135938488,-0.187934550956012,NA,NA
"ltertiaryb","numeric",217,0,211,-1.29550137208895e-16,0.0103705719979028,0.0103705719979028,NA,1,NA,-2.05420874980416,2.47948052930125,4.53368927910541,0.0330497925745361,0.100061081349796,-0.538895554825687,-0.819406323075613,NA,NA
"utertiaryb","numeric",217,0,200,7.21046906098303e-17,-0.0336014729672661,-0.0336014729672661,NA,1,NA,-1.65746712082732,3.0561279976119,4.71359511843923,0.609465365518765,1.84520866149225,0.365777341759851,0.556175058398394,NA,NA
"tv","numeric",217,0,212,-7.74744891576589e-17,-0.353883965441245,-0.353883965441245,NA,1,NA,-1.36310960029738,1.39093532643406,2.75404492673144,0.186514703115876,0.56468925907238,-1.62652312344603,-2.47317559041933,NA,NA
"fridge","numeric",217,0,212,4.7786335660383e-17,-0.59392555891451,-0.59392555891451,NA,1,NA,-0.964737280783412,1.63876780440584,2.60350508518925,0.573752971098376,1.73708632471099,-1.41078641677591,-2.14514166996477,NA,NA
"computer","numeric",217,0,196,-1.6659740663298e-17,-0.494477866777034,-0.494477866777034,NA,1,NA,-0.81776856422064,3.36934213271861,4.18711069693925,1.37360027498246,4.15869263164509,0.985623049236771,1.4986684367343,NA,NA
"cellphone","numeric",217,0,214,1.37221523346673e-16,0.351026804397136,0.351026804397136,NA,1,NA,-3.28866230862526,1.06522100925713,4.35388331788239,-1.30182057293409,-3.94137342790945,1.1900353824407,1.8094833188428,NA,NA
"phone","numeric",217,0,214,2.021152702448e-16,0.333988615886888,0.333988615886888,NA,1,NA,-3.35724639215355,1.03030387552241,4.38755026767596,-1.30282644888234,-3.94441880360609,1.14719195830818,1.74433864967262,NA,NA
"motor","numeric",217,0,207,-2.36570915506987e-17,-0.426041062390288,-0.426041062390288,NA,1,NA,-0.856673617652478,4.15282180602768,5.00949542368015,1.58263314593345,4.79155757498283,2.19258621485553,3.33389094093046,NA,NA
"agedifmar","numeric",217,0,197,3.51019821448511e-17,-0.143996659052279,-0.143996659052279,NA,1,NA,-1.72292256967111,2.66420956426279,4.3871321339339,0.651701201843039,1.97308127808398,-0.426618166741466,-0.648685297617565,NA,NA
"womo50","numeric",217,0,201,6.3067590704378e-16,-0.00417298428946499,-0.00417298428946499,NA,1,NA,-3.38169944860596,2.68883572772909,6.07053517633505,-0.0320187374872858,-0.0969394736504795,-0.0730792703633827,-0.111119150427725,NA,NA
"ppatloc","numeric",217,0,203,6.02016996161859e-17,-0.345453068789723,-0.345453068789723,NA,1,NA,-1.0844045568974,3.67036605278854,4.75477060968593,1.5873689493085,4.80589562584047,1.99009050882825,3.02599034604044,NA,NA
"pmatloc","numeric",217,0,185,3.21283578338746e-17,-0.335021868530362,-0.335021868530362,NA,1,NA,-0.845697837481401,4.70763623491923,5.55333407240063,2.25792206072605,6.83605267688973,5.43943339851953,8.27081626631209,NA,NA
"patrilocal","numeric",217,0,167,1.69758830248833e-17,-0.210101818631593,-0.210101818631593,NA,1,NA,-2.0218527867326,2.45295382122771,4.47480660796031,0.330982192563043,1.00207697281892,-0.818233276563462,-1.24414743184113,NA,NA
"regpopm","numeric",217,0,208,-1.18292952238557e-17,-0.288607884513596,-0.288607884513596,NA,1,NA,-0.417121737964925,10.7969345199315,11.2140562578964,6.85064677702775,20.7409206248101,63.164668586804,96.0437108295399,NA,NA
"popshare","numeric",217,0,217,-7.68756798011041e-17,-0.29465893234299,-0.29465893234299,NA,1,NA,-1.20638620955456,4.94587874138,6.15226495093455,1.59998240482634,4.84408394414309,3.29924847704101,5.01660301198709,NA,NA
"age09","numeric",217,0,214,-1.50255432136364e-16,-0.0499266503606278,-0.0499266503606278,NA,1,NA,-2.12298217589791,2.08068044557908,4.20366262147699,-0.00348741757060383,-0.0105584557738422,-1.05607129762222,-1.60578704192545,NA,NA
"age1019","numeric",217,0,195,3.54593566650929e-16,0.13422044207517,0.13422044207517,NA,1,NA,-3.90422395929269,1.82512528563464,5.72934924492732,-0.850388239469761,-2.57462332378005,1.01666373875694,1.54586670555967,NA,NA
"age2029","numeric",217,0,190,9.89162109236568e-17,-0.0144230788054108,-0.0144230788054108,NA,1,NA,-2.04961766580097,2.98101629722348,5.03063396302444,0.363214331206847,1.09966253677191,-0.320620610319036,-0.487512938362908,NA,NA
"age3039","numeric",217,0,193,-3.73417714600497e-17,-0.1725056544461,-0.1725056544461,NA,1,NA,-1.8970725540364,2.67180373445165,4.56887628848805,0.365050816086474,1.10522265224083,-0.754593720766515,-1.14738164123332,NA,NA
"age4049","numeric",217,0,196,1.39087150495089e-16,-0.24899128246351,-0.24899128246351,NA,1,NA,-1.59522352177864,2.79550518978077,4.39072871155941,0.672424135745817,2.03582173766102,-0.570976997402011,-0.868187087112403,NA,NA
"age5059","numeric",217,0,183,-7.03507937429e-17,-0.317788211498697,-0.317788211498697,NA,1,NA,-1.44556741864865,4.17408323813953,5.61965065678819,1.29169306680227,3.91071153456652,1.77376172215346,2.69705615076406,NA,NA
"age6069","numeric",217,0,179,-1.4562134220558e-16,-0.235167169634416,-0.235167169634416,NA,1,NA,-1.51017476878828,5.1952295684622,6.70540433725047,1.51375100375318,4.58301098224087,3.80325413764616,5.78295823883498,NA,NA
"age7079","numeric",217,0,169,-1.896646822092e-16,-0.196669738760569,-0.196669738760569,NA,1,NA,-1.56779606868443,5.32067693015462,6.88847299883905,1.73075497114314,5.24000910364405,5.3574481209398,8.14615527357173,NA,NA
"age8089","numeric",217,0,122,-1.85083803122364e-17,-0.254234847020103,-0.254234847020103,NA,1,NA,-1.5401824136776,4.32808535529463,5.86826776897223,1.54134718679375,4.66656079302831,3.34490105851472,5.08601908638091,NA,NA
"age90hi","numeric",217,0,54,3.23246508884899e-17,-0.205252867756956,-0.205252867756956,NA,1,NA,-1.03006531781731,7.32116073904382,8.35122605686114,3.13736587416582,9.49864424265257,15.8831926105631,24.1508550946075,NA,NA
"hhsize","numeric",217,0,185,-9.23390508321364e-17,-0.144049204933921,-0.144049204933921,NA,1,NA,-1.60687119829623,6.32436679696503,7.93123799526125,2.29800538929398,6.95740839165135,9.73988230269649,14.8097735699885,NA,NA
"depratio","numeric",217,0,190,2.08450108652608e-16,-0.089111777748862,-0.089111777748862,NA,1,NA,-1.60531366580997,2.54719643018608,4.15251009599604,0.346356872904816,1.048625136077,-0.896003801889844,-1.36239977152124,NA,NA
"youthdepr","numeric",217,0,198,-7.43817649882187e-17,-0.0952725012850306,-0.0952725012850306,NA,1,NA,-1.80945147273683,2.510657663036,4.32010913577283,0.310385742745498,0.939719454657121,-0.83697307787422,-1.27264184332719,NA,NA
"olddepr","numeric",217,0,111,1.45143194058543e-16,-0.135894796674099,-0.135894796674099,NA,1,NA,-1.78728836585775,4.32024658048814,6.10753494634589,0.997978642081635,3.0214659249519,1.88447300890273,2.86539587371378,NA,NA
"dwindowphase","numeric",217,0,6,-1.4625362692875e-17,0.0674173255950122,0.0674173255950122,NA,1,NA,-0.793145007000144,3.50966665597563,4.30281166297578,1.24422130961875,3.76698671854397,0.960418866271807,1.46034474542806,NA,NA
"popyoung","numeric",217,0,212,3.25704075445228e-16,0.0956929892297043,0.0956929892297043,NA,1,NA,-2.48412933297281,1.86716476811831,4.35129410109112,-0.215781741901827,-0.65329772892054,-0.95459024877069,-1.45148216344453,NA,NA
"popworkage","numeric",217,0,212,1.0066192631106e-16,-0.0748594535504165,-0.0748594535504165,NA,1,NA,-1.93703666270461,2.0138281997582,3.95086486246281,0.0907219050841132,0.274668347898317,-1.19078755592171,-1.81062702043928,NA,NA
"popold","numeric",217,0,185,1.53042880947561e-16,-0.232225795138605,-0.232225795138605,NA,1,NA,-1.58864732407632,4.74390347102146,6.33255079509778,1.39358254264163,4.21919066065051,3.42546553321718,5.20851970713257,NA,NA
"infmort","numeric",217,0,216,9.86167437913372e-17,-0.0713411621113664,-0.0713411621113664,NA,1,NA,-2.2190267027798,3.08507389380734,5.30410059658714,0.509173576902522,1.54156667049294,-0.0131954514655663,-0.0200640667192363,NA,NA
"u5mort","numeric",217,0,215,-1.14987634509489e-16,-0.17877348253397,-0.17877348253397,NA,1,NA,-1.7337433696586,3.84260410831025,5.57634747796885,0.89717013525255,2.71625952524977,0.644762400228534,0.980379932433406,NA,NA
"pipedwater","numeric",217,0,212,-5.25028649268637e-17,-0.451781625688213,-0.451781625688213,NA,1,NA,-1.06442912770059,1.59117339510989,2.65560252281048,0.434301746401898,1.31488578268902,-1.51668344118802,-2.30616116738157,NA,NA
"electr","numeric",217,0,190,-6.97646625569106e-17,0.194996443806236,0.194996443806236,NA,1,NA,-1.48272513697692,1.09852427015153,2.58124940712846,-0.185916755945658,-0.562878922734955,-1.68306588700593,-2.55915050257116,NA,NA
"flushtoilet","numeric",217,0,211,2.83491388326394e-17,-0.379517999092477,-0.379517999092477,NA,1,NA,-1.00586751391848,1.68444765612273,2.69031517004122,0.553383606643501,1.67541632695938,-1.32314049861193,-2.01187350901555,NA,NA
"smallhouse","numeric",217,0,213,5.77195261632329e-17,-0.153277329218286,-0.153277329218286,NA,1,NA,-1.90364076621164,3.08483395582664,4.98847472203827,0.700257606238389,2.12008995655901,0.243492819333548,0.370237894892183,NA,NA
"modsizehouse","numeric",217,0,209,2.54430757431572e-16,0.0134379750850342,0.0134379750850342,NA,1,NA,-2.92143603447151,3.34590632461716,6.26734235908867,0.362582023793204,1.09774817185081,1.3118132083774,1.99465003563861,NA,NA
"largehouse","numeric",217,0,213,-7.58429709864074e-17,-0.239741964796422,-0.239741964796422,NA,1,NA,-1.64898222361778,3.5188274285028,5.16780965212058,0.743537405305857,2.25112325988538,0.258530511781685,0.393103142464053,NA,NA
"naturalfloor","numeric",217,0,202,-1.75410921067378e-17,-0.288176871205885,-0.288176871205885,NA,1,NA,-1.04032715021149,1.77017076975009,2.81049791996158,0.355262965198288,1.07558909427662,-1.5277910223105,-2.32305056668044,NA,NA
"contin","numeric",217,0,4,-7.47794723289092e-17,-0.845877514102677,-0.845877514102677,NA,1,NA,-0.845877514102677,2.19647752280806,3.04235503691073,0.564833614425921,1.71008220746646,-1.26901554329882,-1.92957494443731,NA,NA
"wrldreg","numeric",217,0,7,1.58915059810797e-16,-0.549120651564366,-0.549120651564366,NA,1,NA,-1.21855425487598,2.79804736499371,4.01660161986969,1.0785307185211,3.26534424447015,0.472608965674819,0.718615641469592,NA,NA
"niwi","numeric",217,0,204,3.85396399893281e-17,-0.242463211617903,-0.242463211617903,NA,1,NA,-0.425629502030731,9.58240781807702,10.0080373201078,6.34690721105185,19.215805888415,48.4395524728612,73.653744640841,NA,NA
"niwipov50","numeric",217,0,204,3.85396399893281e-17,-0.242463211617903,-0.242463211617903,NA,1,NA,-0.425629502030731,9.58240781807702,10.0080373201078,6.34690721105185,19.215805888415,48.4395524728612,73.653744640841,NA,NA
"niwipov35","numeric",217,0,204,3.85396399893281e-17,-0.242463211617903,-0.242463211617903,NA,1,NA,-0.425629502030731,9.58240781807702,10.0080373201078,6.34690721105185,19.215805888415,48.4395524728612,73.653744640841,NA,NA
"nedyr20","numeric",217,0,216,-1.31033576846105e-17,-0.24512715213151,-0.24512715213151,NA,1,NA,-0.438567307318333,8.68498788191286,9.12355518923119,6.21853177316513,18.8271382408124,45.2592774055676,68.818044149485,NA,NA
"nwomedyr20","numeric",217,0,208,-6.94488949195784e-19,-0.24225096013718,-0.24225096013718,NA,1,NA,-0.4394191375615,8.65935428348585,9.09877342104735,6.30753772949659,19.0966114067033,46.4311536349922,70.5999159494169,NA,NA
"nmenedyr20","numeric",217,0,215,-9.74283058224301e-18,-0.252878011999687,-0.252878011999687,NA,1,NA,-0.437283149884094,8.70576116359631,9.1430443134804,6.11821136247209,18.5234095940209,43.9607559844433,66.843604661925,NA,NA
"nedyr25","numeric",217,0,213,3.51241533298299e-17,-0.240050706449662,-0.240050706449662,NA,1,NA,-0.42887572996971,8.85790329882765,9.28677902879736,6.24804618178905,18.9164956440593,45.6404132463756,69.3975722511963,NA,NA
"nwomedyr25","numeric",217,0,212,-6.23840936666083e-18,-0.236021263250154,-0.236021263250154,NA,1,NA,-0.428931425585822,8.89397654223809,9.32290796782391,6.33164964289632,19.1696122923442,46.7692570139444,71.1140119446163,NA,NA
"nmenedyr25","numeric",217,0,209,-2.17949618286464e-17,-0.245896150078434,-0.245896150078434,NA,1,NA,-0.428647323283916,8.81135540755806,9.24000273084197,6.15043518819946,18.6209699899065,44.3228870611306,67.3942354685119,NA,NA
"nedyr2039","numeric",217,0,216,1.14199714313171e-17,-0.269259465696885,-0.269259465696885,NA,1,NA,-0.470029079798263,8.38845530188713,8.85848438168539,6.13616725940394,18.5777726118691,44.7751842463934,68.0819664586729,NA,NA
"nwomedyr2039","numeric",217,0,209,2.83282791825467e-17,-0.24942786848546,-0.24942786848546,NA,1,NA,-0.47240928540576,8.96086124874602,9.43327053415178,6.35157947552755,19.2299515698058,47.9274778298964,72.8751202922548,NA,NA
"nmenedyr2039","numeric",217,0,203,9.25194181059923e-18,-0.280482199344083,-0.280482199344083,NA,1,NA,-0.465606138282573,8.7265320488188,9.19213818710137,5.96320057251392,18.0541011337902,42.6864747926606,64.9060231462252,NA,NA
"nedyr4059","numeric",217,0,208,3.52812876999897e-17,-0.24604308777364,-0.24604308777364,NA,1,NA,-0.41672385995125,9.20230048892663,9.61902434887788,6.16735107985977,18.6721843026048,44.9747630941662,68.3854318859764,NA,NA
"nwomedyr4059","numeric",217,0,199,7.69733579230953e-18,-0.243806549272023,-0.243806549272023,NA,1,NA,-0.415653819500228,9.20516107938078,9.62081489888101,6.25057526784791,18.9241526689954,46.0318168661871,69.9927128087241,NA,NA
"nmenedyr4059","numeric",217,0,200,-9.34337452837105e-18,-0.243287821324568,-0.243287821324568,NA,1,NA,-0.417482686973534,9.19012961794094,9.60761230491448,6.07208342612041,18.3837533108121,43.7687414777413,66.5516410346414,NA,NA
"nedyr60","numeric",217,0,197,-2.93573968898172e-17,-0.222550063310021,-0.222550063310021,NA,1,NA,-0.383937637746163,8.75127152356632,9.13520916131249,6.51005928958063,19.7097627979853,48.4151110969779,73.6165808198293,NA,NA
"nwomedyr60","numeric",217,0,180,2.15141684549428e-17,-0.231989978886806,-0.231989978886806,NA,1,NA,-0.37992321953897,8.97003208769974,9.34995530723871,6.35001486226913,19.2252145689856,46.354943413371,70.4840360967808,NA,NA
"nmenedyr60","numeric",217,0,178,-1.32802275321036e-18,-0.219697988170445,-0.219697988170445,NA,1,NA,-0.38349340579781,9.76028759853352,10.1437810043313,6.8935655879375,20.8708610055308,55.3028603558383,84.0896033636787,NA,NA
"nlprimary","numeric",217,0,200,-1.77959045988888e-17,-0.241765185720886,-0.241765185720886,NA,1,NA,-0.502625058151348,12.091271277428,12.5938963355793,8.77182202792014,26.5574434557239,97.8007694278779,148.708906861897,NA,NA
"nuprimary","numeric",217,0,201,5.56590424031729e-19,-0.229642119657316,-0.229642119657316,NA,1,NA,-0.506345120501977,11.2635298431656,11.7698749636676,7.80435815238208,23.6283636034108,77.2273402529863,117.426411019623,NA,NA
"nlsecondary","numeric",217,0,199,-5.12123145989697e-18,-0.221605416015447,-0.221605416015447,NA,1,NA,-0.490739574416236,11.3745129340752,11.8652525084914,7.97362414434171,24.1408309102185,80.0038871978364,121.648231189697,NA,NA
"nusecondary","numeric",217,0,200,-5.76613189959082e-18,-0.251301709321211,-0.251301709321211,NA,1,NA,-0.471707942923048,10.3969415699958,10.8686495129189,7.02563833210594,21.2707225649801,61.2736118652338,93.1683042297389,NA,NA
"nltertiary","numeric",217,0,183,1.78483659943316e-17,-0.265800818390227,-0.265800818390227,NA,1,NA,-0.481219044038123,9.81723260447808,10.2984516485162,6.53195238747809,19.7760460294087,52.8803152321362,80.4060532313352,NA,NA
"nutertiary","numeric",217,0,188,3.78531451575331e-17,-0.281200826217435,-0.281200826217435,NA,1,NA,-0.46678955345134,8.41909928397558,8.88588883742692,5.98831114545635,18.1301255468411,42.8937798451319,65.2212364918899,NA,NA
"nlprimaryg","numeric",217,0,183,-2.91405564553201e-17,-0.244591785797287,-0.244591785797287,NA,1,NA,-0.503136665893068,12.0932173318009,12.596353997694,8.78019560822854,26.5827951882208,97.905933155842,148.868811360793,NA,NA
"nuprimaryg","numeric",217,0,177,2.20792526287129e-17,-0.228663772708433,-0.228663772708433,NA,1,NA,-0.511376240113598,11.2105227622043,11.7218990023179,7.72713350524577,23.3945593614662,75.9202998810745,115.439018220278,NA,NA
"nlsecondaryg","numeric",217,0,190,-2.97930762881616e-18,-0.217801441218719,-0.217801441218719,NA,1,NA,-0.489873117302334,11.4406545429978,11.9305276603001,8.06885838573454,24.4291607432667,81.6746725921211,124.18870884686,NA,NA
"nusecondaryg","numeric",217,0,179,3.20206870651324e-17,-0.24801091593145,-0.24801091593145,NA,1,NA,-0.459949516033835,10.6015611290449,11.0615106450788,7.24855096697316,21.9456096838944,65.0650799039803,98.9333413633126,NA,NA
"nltertiaryg","numeric",217,0,174,-4.05681472797848e-17,-0.259720298466434,-0.259720298466434,NA,1,NA,-0.479692065177778,10.2481617882832,10.7278538534609,6.83968561216956,20.707734758179,58.4890701281572,88.934327746176,NA,NA
"nutertiaryg","numeric",217,0,160,-5.96523538610487e-18,-0.268502695403389,-0.268502695403389,NA,1,NA,-0.468830162800979,8.73828383481364,9.20711399761462,6.16364198137286,18.6609546888456,45.4036860029122,69.0376216106665,NA,NA
"nlprimaryb","numeric",217,0,189,3.72525870877969e-17,-0.240099724080312,-0.240099724080312,NA,1,NA,-0.501894132016004,12.0824492337971,12.5843433658131,8.7508242508578,26.4938708849109,97.473784097937,148.211716182725,NA,NA
"nuprimaryb","numeric",217,0,181,3.04146189160749e-17,-0.231659692998238,-0.231659692998238,NA,1,NA,-0.501291763972722,11.30509771416,11.8063894781327,7.86352187484609,23.8074868470159,78.2459648255555,118.975259229873,NA,NA
